internal_name,parameter,description
EBDR3,Engine_Brake_Driver_3,[EBDR3] Desired state of the Engine_Brake_Driver_3 output driver.
EBDR4,Engine_Brake_Driver_4,[EBDR4] Desired state of the Engine_Brake_Driver_4 output driver.
EBDR5,Engine_Brake_Driver_5,[EBDR5] Desired state of the Engine_Brake_Driver_5 output driver.
EBDRLV,EB_Driver_Level,"[EBDRLV] Rate limited, commanded level of engine braking"
EBFL,E_Brake_Fueling,[EBFL] Calibratible constant fueling value to be output when brake solenoid is on
EBNUOUDR,EB_Number_Output_Drivers,[EBNUOUDR] Total number of Engine Brake Output Drivers at the ECM.
EBODEN,Engine_Brake_Override,[EBODEN] Bit 6 of 0-15. Calibration value which enables FSO valve to close on brake act
EBONSM,Engine_Brake_On_Sum,[EBONSM] Indicates number of engine brake cylinders on.
EBRTDFEN,EB_Rate_Limit_Defeat_Enable,[EBRTDFEN] Bit 0 of 0-15 - Enable brake Rate Limit defeat during on/off trans.
EBRTLMEA,EB_Rate_Limit_Enable,[EBRTLMEA] Bit 15 of 0-15 - Rate limit between current & desired EB Levels.
EBSS,E_Brake_Status,[EBSS] Status of whether operating conditions indicate desire for brake activation
EBSWLV,EB_Switch_Level,[EBSWLV] Commanded brake level from operator switches.
EBSWSS,EB_Switch_Status,[EBSWSS] indicator of desired engine retarder driver control
EBTA,E_Brake_Timing,[EBTA] Timing advance commanded if engine brake is in control of fuel
EBULEBLD,Tool_EB_Level_Dwell_Upp_Lim,"[EBULEBLD] Upper Limit to EBLVDW, which is min. req. time at any E-brake level"
EBULEBRZ,Tool_EB_Min_Road_Speed_Upp_Lim,"[EBULEBRZ] Upper Limit to EBMNRZ, which is mph above which EB is engageable"
ECMRUN,Group_ECMRUN,[ECMRUN] ECM RUNTIME INFORMATION
ECM_DC,Module_Manufacturing_Date_Code,[ECM_DC] Date the ECM was manufactured.
ECM_HW,Group_ECM_HW,[ECM_HW] ECM Hardware Group
ECM_SDWN,Group_ECM_SDWN,[ECM_SDWN] POWERUP AND POWER DOWN DATA
ECM_SN,Serial_Number,[ECM_SN] Serial number of the ECM
ENGBRK02,Group_ENGBRK_2,[ENGBRK02] ENGINE BRAKE INFORMATION
ENGBRK05,Group_ENGBRK_5,[ENGBRK05] ENGINE BRAKE INFORMATION - PERFORMANCE CONTROL
ENGPROT7,Group_ENG_PROT_7,[ENGPROT7] ENGINE PROTECTION CALIBRATIONS AND DATA
ENGPROT8,Group_ENG_PROT_8,[ENGPROT8] ENGINE PROTECTION CALIBRATIONS AND DATA
ENGRPM,Filtered_Engine_Speed,[ENGRPM] Filtered_Engine_Speed: Variable 2^n pulse averaged and filtered engine speed
ENG_SPD,Group_ENG_SPD,[ENG_SPD] ENGINE POSITION SENSOR DATA
EP00FFTM,EPF_Input_Source_0_Fueling_Fault_Occurrence_Time,[EP00FFTM] Input source 0 fueling fault occurrence time
EP00FLFD,EPF_Input_Source_0_Fueling_Fault_Log_Duration,[EP00FLFD] Input source 0 fueling fault log duration
EP00FLFU,EPF_Input_Source_0_Fueling_Index_Fault,[EP00FLFU] Fault index indicating Input source 0 fueling error detected
EP00FLLG,EPF_Input_Source_0_Fueling_Fault_Log,[EP00FLLG] Keeps history of input source 0 fault info
EP00FLVU,EPF_Input_Source_0_Fueling_Fault_Log_Value,[EP00FLVU] Keeps value of input source 0 at time of fueling fault
EP00RFFT,EPF_Input_Source_0_RPM_Fault_Occurrence_Time,[EP00RFFT] Input source 0 RPM fault occurrence time
EP00RPFD,EPF_Input_Source_0_RPM_Fault_Log_Duration,[EP00RPFD] Input source 0 RPM fault log duration
EP00RPFU,EPF_Input_Source_0_RPM_Index_Fault,[EP00RPFU] Fault index indicating Input source 0 RPM error detected
EP00RPLG,EPF_Input_Source_0_RPM_Fault_Log,[EP00RPLG] Keeps history of input source 0 RPM fault info
EP00RPVU,EPF_Input_Source_0_RPM_Fault_Log_Value,[EP00RPVU] Keeps value of input source 0 at time of RPM fault
EPAERPST,Active_Speed_Points_State,[EPAERPST] State flag to use EPF's RPM breakpoints for J1939.
EPAPOD,Engine_Protection_Alpha,[EPAPOD] Value alpha is forced to when engine protection is limiting fuel
EPCQDXEN,Coolant_Temperature_Data_Noderate_Enable,[EPCQDXEN] Bit 1 of 0-15. EPF coolant temperature enable for history only data.
EPCQFLEN,Coolant_Temperature_Fueling_Limiting_Enable,[EPCQFLEN] Bit 4 of 0-15. Enable parameter for fuel limiting due to coolant temperature.
EPCQRPEN,Coolant_Temperature_RPM_Limiting_Enable,[EPCQRPEN] BIT 5 OF 5-15. EPF COOLANT TEMPERATURE RPM LIMITING ENABLE.
EPCQRYEN,Coolant_Temperature_Restart_Enable,[EPCQRYEN] BIT 7 OF 0-15. PREVENTS RESTART AT POWERUP WHEN SHUTDN CNT > MAX SHUTDN CNT DUE
EPCQSOEN,Coolant_Temperature_Shutdown_Enable,[EPCQSOEN] BIT 6 OF 0-15. ENABLE SHUTDOWN ON COOLANT TEMPERATURE ERRORS.
EPCVDXEN,Coolant_Level_Data_Noderate_Enable,[EPCVDXEN] Bit 0 of 0-15. EPF Coolant Level enable for history only data.
EPCVFLEN,Coolant_Level_Fueling_Limiting_Enable,[EPCVFLEN] BIT 0 OF 0-15. ENABLE PARAMETER FOR FUEL LIMITING DUE TO COOLANT LEVEL.
EPCVRPEN,Coolant_Level_RPM_Limiting_Enable,[EPCVRPEN] BIT 1 OF 0-15. ENABLE PARAMETER FOR RPM LIMITING DUE TO COOLANT LEVEL.
EPCVRYEN,Coolant_Level_Restart_Enable,[EPCVRYEN] B3. PREVENTS RESTART AT POWERUP WHEN SHUTDN CNT > MAX SHUTDN CNT DUE TO CLT LEV
EPCVSOEN,Coolant_Level_Shutdown_Enable,[EPCVSOEN] BIT 2 OF 0-15. ENABLE SHUTDOWN ON COOLANT LEVEL ERRORS.
EPEN,Engine_Protection_Enable,[EPEN] BIT 4 OF 0-15. ENGINE PROTECTION FEATURES ENABLE PARAMETER.
EPESLM,Engine_Protection_Derate_RPM,[EPESLM] MAXIMUM RPM ALLOWED DUE TO EPF DERATING.
EPFLIXRT,Fueling_Index_Ramp_Rate,[EPFLIXRT] Time to reach full derate during engine protection fueling fault
EPFLLM,Engine_Protection_Derate_Fueling,[EPFLLM] Maximum fueling permitted by the engine protection features.
EPFLLMSS,Engine_Protection_Fuel_Limit_Status,[EPFLLMSS] INDICATOR FROM ENGINE PROTECTION THAT FUEL DERATE IS NOW ACTIVE.
EPFLSRTM,Fueling_Startup_Derate_Time,[EPFLSRTM] PERIOD OF TIME AFTER POWERUP DURING WHICH NO OIL PRES FAULTS
EPFLTB,Engine_Protection_Fueling_Derate_Table,[EPFLTB] EPS TABLEFOR MAX FUELING DERATE AS A FUNCTION OF RPM (SIZE = 2X17).
EPFLVSAI,Engine_Prot_Fueling_Speed_Breakpoint_Axis,[EPFLVSAI] Axis for determining fuel derate.
EPFTCG,Fuel_Temperature_EPF_Configuration,[EPFTCG] Configuration word for fuel temperature EPF input
EPFTEREN,Fuel_Temperature_Errors_Allowed,"[EPFTEREN] TRUE = fuel temperature error allowed, FALSE = not allowed"
EPFTERFG,Fuel_Temperature_Errors_Allowed_Timer_Running,[EPFTERFG] Flag indicating fuel temp. errors allowed timer is running
EPFTERTM,Fuel_Temperature_Errors_Allowed_Timer,[EPFTERTM] Time since RPM crossed fuel temperature start threshold
EPFTEX,Fuel_Temperature_Extremity,[EPFTEX] Fuel temperature extremity (max)
EPFTEXTM,Fuel_Temperature_Extremity_Time,[EPFTEXTM] Fuel temperature extremity time
EPFTFFET,Fuel_Temperature_Fueling_Fault_Elapse_Time,[EPFTFFET] Total time fuel pres. fuel fault has been active
EPFTFLDD,Fuel_Temperature_Fueling_Derate_Start_Duration,[EPFTFLDD] Time from fuel temperature overlimit reached to start of fuel derate
EPFTFLEN,Fuel_Temperature_Fueling_Limiting_Enable,[EPFTFLEN] Bit 0 of 0-15 Enables fuel limiting due to fuel temperature errors
EPFTFLFG,Fuel_Temperature_Fueling_Fault_Log_Flag,[EPFTFLFG] Fault log recording flag for fuel temperature fueling
EPFTFLFU,Fuel_Temperature_Fueling_Error,[EPFTFLFU] Fault index indicating temperature fueling error detected
EPFTFLIC,Fuel_Temperature_Fueling_Ramp_Rate,[EPFTFLIC] Time to reach full derate w/ fuel temperature engine protect. fueling flt
EPFTFLIN,Fuel_Temperature_Fueling_Fault_Log_Index,[EPFTFLIN] Index into EPF fault log for Fuel temperature fueling
EPFTFLIX,Fuel_Temperature_Fueling_Index,[EPFTFLIX] Fuel temperature fueling severity index.
EPFTFLSA,Fuel_Temperature_Fuel_Fault_Log_Pointer,[EPFTFLSA] Pointer to Fuel Temperature Fuel Fault Log Data
EPFTFLSD,Fuel_Temperature_Fueling_Shutdown_Duration_Thres,[EPFTFLSD] Threshold for fuel temperature fuel limiting to initiate shutdown
EPFTFLSS,Fuel_Temperature_Fueling_Shutdown_Severity_Thres,[EPFTFLSS] Threshold for fuel temperature fuel limiting to initiate shutdown
EPFTFLTM,Fuel_Temperature_Fuel_Duration,[EPFTFLTM] Amount of time since fuel temperature failure was detected
EPFTFLWN,Fuel_Temperature_Fuel_Start_Warning_Time,[EPFTFLWN] Time to start of warning after fuel temp fuel error declared
EPFTFSCU,Fuel_Temperature_Fuel_Shutdown_Time_Count,[EPFTFSCU] Amount of time over fuel temperature fuel shutdown threshold
EPFTFSDY,Fuel_Temperature_Shutdown_Delay,[EPFTFSDY] Shutdown delay for fuel temperature shutdown
EPFTMNSA,Fuel_Temperature_Min_Threshold_Pointer,[EPFTMNSA] Pointer to fuel temperature min threshold
EPFTMNTD,Fuel_Temperature_Fueling_Min_Threshold,[EPFTMNTD] Minimum temperature threshold for fuel temperature fuel limiting
EPFTMXSA,Fuel_Temperature_Max_Threshold_Pointer,[EPFTMXSA] Pointer to fuel temperature max threshold
EPFTMXTD,Fuel_Temperature_Fueling_Max_Threshold,[EPFTMXTD] Maximum threshold for fuel temperature fuel limiting
EPFTPKER,Fuel_Temperature_Precrank_Error,[EPFTPKER] Fuel temperature system error detected before cranking in restart
EPFTRFET,Fuel_Temperature_RPM_Fault_Elapse_Time,[EPFTRFET] Total time fuel temperature. rpm fault has been active
EPFTRLSA,Fuel_Temperature_RPM_Lower_Limit_Pointer,[EPFTRLSA] Pointer to fuel temperature RPM limit threshold
EPFTRPDD,Fuel_Temperature_RPM_Derate_Start_Duration,[EPFTRPDD] Time from fuel temperature overlimit reached to start of RPM derate
EPFTRPEN,Fuel_Temperature_RPM_Limiting_Enable,[EPFTRPEN] Bit 1 of 0-15 Enables RPM limiting due to fuel temperature errors
EPFTRPFG,Fuel_Temperature_RPM_Fault_Log_Flag,[EPFTRPFG] Fault log recording flag for fuel temperature RPM
EPFTRPFU,Fuel_Temperature_RPM_Error,[EPFTRPFU] Fault index indicating Fuel temperature RPM error detected
EPFTRPIC,Fuel_Temperature_RPM_Ramp_Rate,[EPFTRPIC] Time to reach full derate w/ fuel temperature engine protection RPM fault
EPFTRPIN,Fuel_Temperature_RPM_Fault_Log_Index,[EPFTRPIN] Index into EPF fault log for fuel temperature RPM
EPFTRPIX,Fuel_Temperature_RPM_Index,[EPFTRPIX] Fuel temperature RPM severity index.
EPFTRPLL,Fuel_Temperature_RPM_Lower_Limit,[EPFTRPLL] Minimum threshold for fuel temperature RPM limiting
EPFTRPSA,Fuel_Temperature_RPM_Fault_Log_Pointer,[EPFTRPSA] Pointer to Fuel Temperature RPM Fault Log Data
EPFTRPSD,Fuel_Temperature_RPM_Shutdown_Duration_Thres,[EPFTRPSD] Threshold for fuel temperature RPM limiting to initiate shutdown
EPFTRPSS,Fuel_Temperature_RPM_Shutdown_Severity_Thres,[EPFTRPSS] Threshold for fuel temperature RPM limiting to initiate shutdown
EPFTRPTM,Fuel_Temperature_RPM_Duration,[EPFTRPTM] Amount of time since fuel temperature failure was detected
EPFTRPWN,Fuel_Temperature_RPM_Start_Warning_Time,[EPFTRPWN] Time to start of warning after fuel temp RPM error declared
EPFTRRIX,Fuel_Temperature_RPM_Restart_Index,[EPFTRRIX] Fuel temperature RPM restart severity index.
EPFTRSCU,Fuel_Temperature_RPM_Shutdown_Time_Count,[EPFTRSCU] Amount of time over fuel temperature RPM shutdown threshold
EPFTRYEN,Fuel_Temperature_Restart_Enable,[EPFTRYEN] Bit 3 of 0-15 Prevents restart at powerup when shutdn cnt > max shutdn cnt due
EPFTRYIX,Fuel_Temperature_Fueling_Restart_Index,[EPFTRYIX] Fuel temperature fueling restart severity index.
EPFTSA,Fuel_Temperature_Input_Source,[EPFTSA] Pointer to source of fuel temperature
EPFTSAMK,Fuel_Temperature_Input_Mask,[EPFTSAMK] Mask for source of fuel temperature
EPFTSOEN,Fuel_Temperature_Shutdown_Enable,[EPFTSOEN] Bit 2 of 0-15 Enables shutdown on fuel temperature errors
EPFTSRRP,Fuel_Temperature_Start_Monitor_RPM,[EPFTSRRP] RPM threshold that must be crossed in order to log fuel temp fault
EPFTSRTM,Fuel_Temperature_Start_Monitor_Time,[EPFTSRTM] Time threshold that must be crossed in order to log fuel temperature fault
EPFTWNTM,Fuel_Temperature_Shutdown_Warning_Time,[EPFTWNTM] time duration to warn driver before shutdown due to fuel temperature
EPHSINFL,EPF_Curve_HSG_Intercept_Fueling,[EPHSINFL] Intercept fueling between HSG Brkpt and the EPF Curve.
EPIMDXEN,IMT_Data_Noderate_Enable,[EPIMDXEN] Bit 2 of 0-15. EPF IMT enable for history only data.
EPIMFLEN,IMT_Fueling_Limiting_Enable,[EPIMFLEN] Bit 8 of 0-15 Enable for TVO limiting due to intake manifold temp. (Bit 6)
EPIMRPEN,IMT_RPM_Limiting_Enable,[EPIMRPEN] BIT 9 of 0-15. ENABLE PARAMETER FOR RPM LIMITING DUE TO IMT
EPIMRYEN,IMT_Restart_Enable,[EPIMRYEN] BIT 11 OF 0-15. PREVENTS RESTART AT POWERUP WHEN SHUTDN CNT > MAX SHUTDN CNT DU
EPIMSOEN,IMT_Shutdown_Enable,[EPIMSOEN] BIT 10 OF 0-15. ENABLE SHUTDOWN ON INTAKE MANIFOLD TEMPERATURE ERRORS.
EPLSINFL,EPF_Curve_LSG_Intercept_Fueling,[EPLSINFL] Intercept fueling between LSG Ref and the EPF Curve.
EPMXDQRP,Maximum_Derate_RPM,"[EPMXDQRP] MAXIMUM ENGINE RPM WHEN FULLY DERATED, I.E. SEVERITY INDEX = 1.0."
EPNTDQRP,No_Derate_RPM,[EPNTDQRP] MAX ENGINE SPEED WHEN NO DERATE IS IN EFFECT. (HSG BRAKE RPM)
EPO2DXEN,Oil_Pressure_Data_Noderate_Enable,[EPO2DXEN] Bit 3 of 0-15. EPF oil pressure enable for history only data.
EPO2FLEN,Oil_Pressure_Fueling_Limiting_Enable,[EPO2FLEN] Bit 12 of 0-15. Enable parameter for fuel limiting due to oil pressure.
EPO2RPEN,Oil_Pressure_RPM_Limiting_Enable,[EPO2RPEN] BIT 13 OF 0-15. EPF OIL PRESSURE FAULT ENABLE PARAMETER.
EPO2RYEN,Oil_Pressure_Restart_Enable,[EPO2RYEN] BIT 15 OF 0-15. PREVENTS RESTART AT POWERUP WHEN SHUTDN CNT > MAX SHUTDN CNT DU
EPO2SOEN,Oil_Pressure_Shutdown_Enable,[EPO2SOEN] BIT 14 OF 0-15. ENABLE SHUTDOWN ON OIL PRESSURE ERRORS.
EPOSFSO,Overspeed_FSO_Override,"[EPOSFSO] If T, FSO closes when ovrspd detected by main micro. Bit 1 of 0 - 15 of Word C"
EPPKSO,Precrank_Shutdown,[EPPKSO] EPF SHUTDOWN ENGINE COMMAND FROM RESTART EXAMINE BEFORE CRANKING.
EPRPDC,Engine_Protection_RPM_Delta,[EPRPDC] DIFFERENCE BETWEEN NO_DERATE_RPM AND MAXIMUM_DERATE_RPM.
EPRPFTTC,RPM_Limit_Filter_Time_Constant,[EPRPFTTC] MAXIMUM RPM LIMIT FILTER TIME CONSTANT.
EPRPP2,EPF_Curve_RPM_At_Point_2,[EPRPP2] EPF Curve speed at breakpoint 2.
EPRPP3,EPF_Curve_RPM_At_Point_3,[EPRPP3] EPF Curve speed at breakpoint 3.
EPRPP4,EPF_Curve_RPM_At_Point_4,[EPRPP4] EPF Curve speed at breakpoint 4.
EPRPP5,EPF_Curve_RPM_At_Point_5,[EPRPP5] EPF Curve speed at breakpoint 5.
EPRYEN,Engine_Protection_Restart_Enable,[EPRYEN] BIT 5 OF 0-15. ENABLE RESTART ALGORITHM.
EPRYO2SO,Restart_Oil_Pressure_Shutdown,[EPRYO2SO] EPF SHUTDOWN ENGINE COMMAND FROM RESTART LIMITATION ALGORITHM.
EPRYO2SQ,Restart_Oil_Press_Shutdown_Approaching,[EPRYO2SQ] EPF SHUTDOWN APPROACHING COMMAND FROM RESTART LIMITATION ALGORITHM.
EPSOAE,Shutdown_Active,"[EPSOAE] NO = 255, C. LEV. = 0, C. TEMP. = 1, IMT = 2, OIL PRESS. = 3, OIL TEMP. = 4"
EPSOCU,Shutdown_Count,[EPSOCU] NUMBER OF SHUTDOWNS WHILE ERROR IS ACTIVE.
EPSOEN,Engine_Protection_Shutdown_Enable,[EPSOEN] BIT 0 OF 0-15. ENABLE SHUTDOWN ALGORITHM.
EPSOLPFG,EPF_Shutdown_Override_Lamp_Flag,[EPSOLPFG] True indicates starting epf shutdown override lamp sequencing
EPSOMXLM,Shutdown_Max_Limit,[EPSOMXLM] MAX NUMBER OF SHUTDOWNS BEFORE RESTART IS NOT ALLOWED.
EPSOOVEN,EPF_Shutdown_Override_Enable,[EPSOOVEN] Algorithm enable for EPS shutdown override
EPSOOVFG,EPF_Shutdown_Override_Flag,[EPSOOVFG] True indicates EPS shutdown override request detected.
EPSOTF,Shutdown_Total,[EPSOTF] Total number of shutdowns.
EPSQ,Shutdown_Approaching,[EPSQ] EPS SHUTDOWN APPROACHING.
EPTQCG,EPF_Torque_Curve_Min_Config,[EPTQCG] Bitmap indicating when a feature should CLAMP a fueling point
EPTQPZ,EPF_Torque_Curve_Priority,[EPTQPZ] Priority level of the EPF Curve configuration and bit position used
ESACBKGR,EPS_VSS_Accumulator_Backup,[ESACBKGR] Accumulated backup EPS period between VSS interrupts
ESACGR,EPS_VSS_Accumulator,[ESACGR] Accumulated main EPS period between VSS interrupts
ESALASEN,ES_Alarm_During_Autostart_Enable,[ESALASEN] Enables Alarm sounding for auto-start Keyswitch on.
ESALDR,Engine_Alarm_Driver,[ESALDR] Desired state of the Engine_Alarm_Driver output driver.
ESASOCCU,ASIC_Engine_Overspeed_Persistance,[ESASOCCU] Consecutive occurances of engine overspeed to cause a shutdown
ESASOSLM,ASIC_Engine_Overspeed_Limit,[ESASOSLM] Engine speed above which the overspeed algorithm disables fueling
ESASOSTY,ASIC_Engine_Overspeed_Type,"[ESASOSTY] Action after an overspeed shutdown, 0=latching & 1=non-latching"
ESASRVTT,ASIC_Engine_Speed_Targets_Per_Rev,[ESASRVTT] Number of engine speed targets per crankshaft revolution.
ESATOD,ES_AT_Override,[ESATOD] Overrides anti-theft fueling lockout during auto-start operation.
ESAVES,Average_Engine_Speed,[ESAVES] Average_Engine_Speed: Engine speed based on the 2^n pulse average
ESBUISCT,ESS_Backup_ISR_Count,[ESBUISCT] Unsigned roll-over counter of ESS backup isr occurances.
ESCMES,Engine_Speed,[ESCMES] Engine_Speed: Engine speed based from period of one cam rev.
ESCOES,Engine_Speed_Cutoff,[ESCOES] Engine Speed that causes tachometer to drop to zero
ESCTBKGR,EPS_VSS_Counter_Backup,[ESCTBKGR] Number of backup EPS interrupts between VSS interrupts
ESCTGR,EPS_VSS_Counter,[ESCTGR] Number of main EPS interrupts between VSS interrupts
ESCUCF01,Engine_Speed_Constant_1,[ESCUCF01] Engine_Speed_Constant_1: Conversion factor from tcnts to rpm - primary
ESCUCF02,Engine_Speed_Constant_1_Backup,[ESCUCF02] Engine_Speed_Constant_1_Backup: Conversion factor from tcnts to rpm - secondary
ESES01,Main_RPM,[ESES01] Main_RPM: Engine speed calculated from primary speed sensor
ESES02,Backup_RPM,[ESES02] Backup_RPM: Engine speed calculated from secondary speed sensor
ESESAC,Unfiltered_Engine_Acceleration,[ESESAC] Calculated engine acceleration
ESESFTTC,Filtered_Engine_Speed_Constant,[ESESFTTC] Time constant for the filter used on the 2^n pulse average
ESFT01AC,Engine_Acceleration,[ESFT01AC] Engine acceleration after first stage low pass filtering
ESFT01MN,Engine_Accel_Min_Limit,[ESFT01MN] Lower acceleration bound for eng accel first stage filter
ESFT01MX,Engine_Accel_Max_Limit,[ESFT01MX] Upper acceleration bound for eng accel first stage filter
ESFT01TC,Engine_Accel_Filter_Constant_1,[ESFT01TC] Engine acceleration first stage digital filter acceleration time constant
ESFT02AC,Filtered_Engine_Acceleration,[ESFT02AC] Engine acceleration after second stage low pass filtering
ESFT02TC,Engine_Accel_Filter_Constant_2,[ESFT02TC] Engine acceleration second stage digital filter acceleration time constant
ESFXSNTD,EPS_Failure_Detect_RPM,[ESFXSNTD] EPS error detection performed when rpm > this value
ESIITB02,Initialization_Pulse_Period_Backup,[ESIITB02] Initialization_Pulse_Period_Backup: Initial value for pulse period table backup
ESMNISCT,ESS_Main_ISR_Count,[ESMNISCT] Unsigned roll-over counter of ESS main isr occurances.
ESMXTM01,Maximum_Pulse_Period_Timeout,[ESMXTM01] Maximum_Pulse_Period_Timeout: max reset value for Main_Lost_Counter
ESMXTM02,Maximum_Pulse_Period_Timeout_Backup,[ESMXTM02] Maximum_Pulse_Period_Timeout_Backup:max reset value for backup
ESNKASEN,ES_Keyless_Restart,[ESNKASEN] Allows engine to run while keyswitch is off.
ESNXPS02,Next_Table_Position_Backup,[ESNXPS02] Next_Table_Position_Backup: pointer to next spot in backup Pulse_period tabl
ESPADDIN,ASIC_BYTE_Padding,[ESPADDIN] Padding to preserve WORD alignment.
ESPLAVBU,Average_Pulse_Period_Backup,[ESPLAVBU] Average_Pulse_Period_Backup: time period over 1 cyl of secondary speed pulses
ESPLTMAV,Average_Pulse_Period,[ESPLTMAV] Average_Pulse_Period: time period over 1 cyl of primary speed pulses
ESPSTB02,Pulse_Period_Table_Backup,[ESPSTB02] Pulse_Period_Table_Backup: Table containing main speed pulse periods
ESP_08,Group_ESP_8,[ESP_08] ELECTRONIC SMART POWER GROUP - VEHICLE CONTROL DATA
ESSNSE,Speed_Sensor_Select,[ESSNSE] Speed_Sensor_Select: Specifies source for speed calculations
EST2CY,Engine_Cylinders,[EST2CY] Number of engine cylinders
ESTDCU01,Main_Consec_Error_Thres,[ESTDCU01] Main_Consec_Error_Thresh:Threshold count at which ESS is lost.
ESTDCU02,Backup_Consec_Error_Thresh,[ESTDCU02] Backup_Consec_Error_Thresh:threshold count at which eps is lost
ESTMCU01,Main_Lost_Counter,[ESTMCU01] Main_Lost_Counter: Timeout counter for primary speed sensor
ESTMCU02,Backup_Lost_Counter,[ESTMCU02] Backup_Lost_Counter: Timeout counter for secondary speed input
FAN_DRV,Group_FAN_DRV,[FAN_DRV] FAN CLUTCH DRIVER INFORMATION
FC02EN,Fan_Clutch_2_Enable,[FC02EN] BIT 12 of 0-15 allows bus applications imt fan control
FCAK02EN,Fan_Clutch_2_AC_Pressure_Enable,"[FCAK02EN] AC Switch Enable, Bit 10 of Word 19h"
FCAKAGEN,Fan_AC_Pressure_Enable,"[FCAKAGEN] BIT 10 OF 0-15, allows pressure switch functionality"
FCAKI2EN,Fan_Clutch_2_AC_Enable,"[FCAKI2EN] AC Input Enable, Bit 9 of Word 19h"
FCAKINEN,Fan_Clutch_1_AC_Enable,"[FCAKINEN] AC Input Enable, Bit 6 of Word 19h"
FCAKVSEN,Fan_AC_Vehicle_Speed_Interaction_Enable,"[FCAKVSEN] BIT 11 OF 0-15, Allows special AC pressure switch functionality"
FCCLI2EN,Fan_Clutch_2_Coolant_Enable,"[FCCLI2EN] CT Input Enable, Bit 11 of Word 19h"
FCCLINEN,Fan_Clutch_1_Coolant_Enable,"[FCCLINEN] CT Input Enable, Bit 7 of Word 19h"
FCEBAGEN,Fan_EB_Enable,"[FCEBAGEN] BIT 13 OF 0-15, allows engine brake functionality"
FCEBINEN,Fan_Clutch_2_EB_Enable,"[FCEBINEN] Fan_Clutch_2_EB_Enable, Bit 12 of Word 19h"
FCEMPCFS,Estimated_Percent_Fan_Speed,[FCEMPCFS] Fan Speed as a ratio of current speed to the maximum fan speed
FCEN,Fan_Manual_Input_Enable,"[FCEN] BIT 14 OF 0-15, allows manual switch input functionality"
FCIMI2EN,Fan_Clutch_2_IMT_Enable,"[FCIMI2EN] IMT Input Enable, Bit 13 of Word 19h"
FCIMINEN,Fan_Clutch_1_IMT_Enable,"[FCIMINEN] IMT Input Enable, Bit 8 of Word 19h"
FCSS,Fan_Clutch_Status_1,[FCSS] fan clutch status
FCSS02,Fan_Clutch_Status_2,[FCSS02] fan clutch status for fan 2
FCST,Fan_Drive_State,[FCST] J1939 Defined States: Indicates which device is controlling the Fan
FCST,Fan_Drive_State,[FCST] J1939 Defined States: Indicates which device is controlling the Fan
FCST,Fan_Drive_State,[FCST] J1939 Defined States: Indicates which device is controlling the Fan
FCSW02EN,Fan_Clutch_2_Manual_Input_Enable,"[FCSW02EN] Fan_Clutch_2_Manual_Input_Enable, Bit 14 of Word 19h"
FDFLRT,Fuel_Delivery_Rate,[FDFLRT] rate of fuel delivered to injectors as determined for use in alpha alg.
